Year,Planted Area,Harvested Area,Temp_mean,Temp_min,Temp_max,Precipitation,Average Yield,crop,Production
1999,506626.90,40875.90,19.73,12.48,27.03,66.53,0.23,Wheat,9250.50
2000,476437.70,182036.70,18.94,11.71,26.22,96.50,0.14,Wheat,25433.70
2001,443559.50,134494.70,19.76,12.60,26.97,104.04,0.14,Wheat,19293.00
2002,427042.70,327454.40,19.52,12.41,26.68,126.07,0.13,Wheat,43770.80
2003,500622.80,297813.00,19.50,12.50,26.54,133.74,0.14,Wheat,42526.00
2004,345252.00,107279.80,19.37,12.16,26.62,95.64,0.12,Wheat,13166.00
2005,385782.00,292921.60,19.29,12.09,26.54,88.40,0.12,Wheat,34363.00
2006,418594.00,269207.80,19.16,11.96,26.41,94.81,0.09,Wheat,22927.40
2007,207635.40,207635.40,19.45,12.25,26.71,94.70,0.10,Wheat,20992.10
2008,247997.30,124565.80,19.66,12.27,27.09,70.48,0.06,Wheat,7835.10
2009,240540.50,158775.50,19.72,12.48,27.02,77.65,0.08,Wheat,12484.00
2010,300096.90,214656.20,21.28,13.88,28.71,105.67,0.10,Wheat,22125.60
2011,193042.60,143296.50,19.18,12.05,26.36,107.22,0.14,Wheat,19801.20
2012,212963.80,154988.70,19.97,12.82,27.17,101.93,0.12,Wheat,19205.00
2013,262371.30,213785.60,19.78,12.56,27.05,118.16,0.13,Wheat,28517.00
2014,266787.60,230183.30,19.89,12.75,27.08,119.01,0.12,Wheat,27452.10
2015,258114.60,222545.70,19.83,12.66,27.06,105.91,0.10,Wheat,21925.20
2016,277609.50,240884.60,20.09,12.95,27.30,106.06,0.13,Wheat,31150.40
2017,121907.60,81615.10,19.83,12.62,27.09,53.23,0.15,Wheat,12110.40
2018,137914.20,108936.50,20.44,13.50,27.44,122.96,0.15,Wheat,16388.60
2019,203595.30,110180.30,19.89,12.88,26.96,112.83,0.24,Wheat,26361.40
2020,131790.50,115080.20,19.90,12.90,26.90,145.40,0.22,Wheat,25749.50
2021,166360.00,123046.50,20.30,13.10,27.60,89.20,0.21,Wheat,25806.60
2022,142378.40,110258.00,19.70,12.70,26.80,136.20,0.19,Wheat,20858.10
1999,1206267.20,36816.70,19.73,12.48,27.03,66.53,0.13,Barley,4940.40
2000,574899.00,133798.30,18.94,11.71,26.22,96.50,0.09,Barley,12070.20
2001,836982.70,202675.10,19.76,12.60,26.97,104.04,0.09,Barley,17328.50
2002,851506.80,553766.70,19.52,12.41,26.68,126.07,0.10,Barley,56772.40
2003,633147.20,259190.60,19.50,12.50,26.54,133.74,0.10,Barley,25820.70
2004,1036685.00,290057.30,19.37,12.16,26.62,95.64,0.07,Barley,20979.70
2005,713261.70,361542.50,19.29,12.09,26.54,88.40,0.09,Barley,31792.60
2006,713812.90,360274.50,19.16,11.96,26.41,94.81,0.05,Barley,18437.60
2007,468410.40,291528.30,19.45,12.25,26.71,94.70,0.05,Barley,13528.70
2008,738176.90,271842.20,19.66,12.27,27.09,70.48,0.04,Barley,10327.50
2009,682717.80,312625.70,19.72,12.48,27.02,77.65,0.05,Barley,17061.80
2010,831753.90,195024.00,21.28,13.88,28.71,105.67,0.05,Barley,10658.70
2011,865134.70,277933.50,19.18,12.05,26.36,107.22,0.11,Barley,29285.40
2012,854615.80,363417.10,19.97,12.82,27.17,101.93,0.09,Barley,32050.30
2013,895616.80,383818.30,19.78,12.56,27.05,118.16,0.11,Barley,40914.60
2014,1000653.50,381393.30,19.89,12.75,27.08,119.01,0.10,Barley,38872.70
2015,953256.00,392967.70,19.83,12.66,27.06,105.91,0.10,Barley,40485.80
2016,959454.30,302352.90,20.09,12.95,27.30,106.06,0.13,Barley,37929.00
2017,564582.30,391967.00,19.83,12.62,27.09,53.23,0.12,Barley,48954.50
2018,770574.70,440501.00,20.44,13.50,27.44,122.96,0.11,Barley,47245.30
2019,826233.70,578283.10,19.89,12.88,26.96,112.83,0.12,Barley,66618.10
2020,628713.40,498438.00,19.90,12.90,26.90,145.40,0.17,Barley,86614.80
2021,721218.10,546118.10,20.30,13.10,27.60,89.20,0.14,Barley,76291.00
2022,449584.50,243878.50,19.70,12.70,26.80,136.20,0.12,Barley,28779.00
1999,16347.40,4112.90,19.73,12.48,27.03,66.53,0.04,Lentil,184.90
2000,10663.90,10663.20,18.94,11.71,26.22,96.50,0.10,Lentil,1107.50
2001,19731.20,15652.60,19.76,12.60,26.97,104.04,0.12,Lentil,1914.40
2002,13168.20,11907.20,19.52,12.41,26.68,126.07,0.14,Lentil,1679.60
2003,7139.50,7139.50,19.50,12.50,26.54,133.74,0.07,Lentil,527.70
2004,14829.20,14829.20,19.37,12.16,26.62,95.64,0.04,Lentil,553.30
2005,12743.50,12743.50,19.29,12.09,26.54,88.40,0.07,Lentil,835.50
2006,4919.10,4919.10,19.16,11.96,26.41,94.81,0.06,Lentil,301.30
2007,2616.60,2616.60,19.45,12.25,26.71,94.70,0.07,Lentil,183.50
2008,3502.20,3502.20,19.66,12.27,27.09,70.48,0.05,Lentil,177.90
2009,1879.20,1879.20,19.72,12.48,27.02,77.65,0.06,Lentil,104.60
2010,3847.00,3847.00,21.28,13.88,28.71,105.67,0.06,Lentil,245.20
2011,1242.70,967.00,19.18,12.05,26.36,107.22,0.08,Lentil,82.00
2012,1976.00,1856.40,19.97,12.82,27.17,101.93,0.07,Lentil,131.80
2013,2833.50,2607.80,19.78,12.56,27.05,118.16,0.08,Lentil,213.60
2014,2082.30,1858.20,19.89,12.75,27.08,119.01,0.08,Lentil,147.70
2015,816.70,764.10,19.83,12.66,27.06,105.91,0.08,Lentil,60.70
2016,1037.00,948.90,20.09,12.95,27.30,106.06,0.12,Lentil,112.30
2017,1236.70,767.80,19.83,12.62,27.09,53.23,0.57,Lentil,439.90
2018,2301.80,1353.10,20.44,13.50,27.44,122.96,0.40,Lentil,535.60
2019,812.40,450.10,19.89,12.88,26.96,112.83,0.34,Lentil,153.50
2020,1477.30,905.50,19.90,12.90,26.90,145.40,0.46,Lentil,420.50
2021,4423.50,2546.20,20.30,13.10,27.60,89.20,0.38,Lentil,959.70
2022,7020.30,5017.00,19.70,12.70,26.80,136.20,0.11,Lentil,560.10
1999,13117.10,4431.40,19.73,12.48,27.03,66.53,0.06,Chickpea,264.10
2000,14245.20,11954.60,18.94,11.71,26.22,96.50,0.17,Chickpea,1991.70
2001,7801.90,3273.90,19.76,12.60,26.97,104.04,0.25,Chickpea,811.50
2002,16635.10,16500.50,19.52,12.41,26.68,126.07,0.19,Chickpea,3057.50
2003,16582.10,16582.10,19.50,12.50,26.54,133.74,0.12,Chickpea,1927.10
2004,6402.40,6402.40,19.37,12.16,26.62,95.64,0.12,Chickpea,756.80
2005,14022.20,14022.20,19.29,12.09,26.54,88.40,0.28,Chickpea,3884.90
2006,12234.70,12234.70,19.16,11.96,26.41,94.81,0.14,Chickpea,1730.50
2007,6963.40,6963.40,19.45,12.25,26.71,94.70,0.17,Chickpea,1214.70
2008,4236.80,4236.80,19.66,12.27,27.09,70.48,0.16,Chickpea,676.40
2009,5447.50,5447.50,19.72,12.48,27.02,77.65,0.22,Chickpea,1204.50
2010,22279.80,22279.80,21.28,13.88,28.71,105.67,0.18,Chickpea,3935.20
2011,10091.50,8735.30,19.18,12.05,26.36,107.22,0.25,Chickpea,2157.00
2012,14123.10,13205.40,19.97,12.82,27.17,101.93,0.28,Chickpea,3729.10
2013,9867.50,7978.90,19.78,12.56,27.05,118.16,0.09,Chickpea,718.90
2014,8358.10,7167.80,19.89,12.75,27.08,119.01,0.26,Chickpea,1887.10
2015,12863.20,10828.00,19.83,12.66,27.06,105.91,0.16,Chickpea,1708.30
2016,6849.40,6134.90,20.09,12.95,27.30,106.06,0.33,Chickpea,2022.60
2017,4635.30,3597.70,19.83,12.62,27.09,53.23,0.42,Chickpea,1509.20
2018,9467.00,7440.50,20.44,13.50,27.44,122.96,0.86,Chickpea,6416.00
2019,15552.90,8731.60,19.89,12.88,26.96,112.83,0.48,Chickpea,4232.20
2020,4327.90,3374.80,19.90,12.90,26.90,145.40,0.50,Chickpea,1676.10
